AirConditioningSystemPct,Air Conditioning System
AllMainAreasPct,All Main Areas
AreaUnderSupportedFloorPct,Area Under Supported Floor
BarPct,Bar
CanteenPct,Canteen
ChillStorePct,Chill Store
ClassroomPct,Classroom
ColdStorePct,Cold Store
ComputerRoomPct,Computer Room
ExternalStoragePct,External Storage
FirstFloorSalesPct,First Floor Sales
GaragePct,Garage
GolfCoursePct,Golf Course
GroundFloorSalesPct,Ground Floor Sales
HallPct,Hall
HardSurfacedFencedLand_03Pct,Hard Surfaced Fenced Land
HardSurfacedUnfencedLandPct,Hard Surfaced Unfenced Land
IndoorArenaPct,Indoor Arena
InternalStoragePct,Internal Storage
KitchenPct,Kitchen
LaboratoryPct,Laboratory
LoungePct,Lounge
MessStaffRoomPct,Mess Staff Room
MezzanineFloorPct,Mezzanine Floor
MiscellaneousAdditionPct,Miscellaneous Addition
NurseryPct,Nursery
Office_02Pct,Office
OtherDescriptionPct,Other Description
OtherOADescriptionPct,Other OA Description
OutdoorArenaPct,Outdoor Arena
Petrol Forecourt and Shop,Petrol Forecourt and Shop
PortableBuildingPct,Portable Building
ProductionAreaPct,Production Area
ReceptionEntrancePct,ReceptionEntrancePct
RemainingRetailZonePct,Remaining Retail Zone
RestaurantPct,Restaurant
RetailAreaPct,Retail Area
RetailZoneAPct,Retail Zone A
RetailZoneBPct,Retail Zone B
RetailZoneCPct,Retail Zone C
RoughSurfacedFencedLand_03Pct,Rough Surfaced Fenced Land
ShowroomPct,Showroom
SingleBedSpacePct,Single Bed Space
StorageContainerPct,Storage Container
StorePct,Store
SupportedStorageFloorPct,Supported Storage Floor
SurgeryPct,Surgery
TotalFloorAreaDryLeisureClubsPct,Total Floor Area Dry Leisure Clubs
UnsurfacedFencedLand_03Pct,Unsurfaced Fenced Land
UnsurfacedUnfencedLandPct,Unsurfaced Unfenced Land
VehicleDisplaySpacesPct,Vehicle Display Spaces
VehicleSpacesPct,Vehicle Spaces
WarehousePct,Warehouse
Workshop_02Pct,Workshop
WorksOfficePct,Works Office
